UserID,Channel Title,Description,Subscribers,Total Views,Video Count,Activity Duration
SeattleChannel21,Seattle Channel,"Seattle Channel is an award-winning municipal TV station that reflects, informs, and inspires the community it serves with a local mix of news, analysis, stories, and perspectives you won't find anywhere else.

Programming highlights the diverse civic and cultural landscape of Seattle with compelling, high-quality content including a public-affairs show; live meetings and press conferences; in-depth arts coverage; a news/lifestyle magazine show; community features; panel discussions and interviews with local leaders and national figures.

Find us online anytime at seattlechannel.org. Seattle cable subscribers can find us on channel 21 on Comcast (321 HD) and Wave (721 HD).
 
View the City of Seattle digital policies at www.seattle.gov/digital, including our commenting policy at http://www.seattle.gov/about-our-digital-properties/content-policies/online-posted-content-and-commentary-policy.",52200,15546649,5681,6403
shakypam,shakypam,AKA Pixel City,934,2034242,93,6106
starlitshores,Starlitshores,"Some suggested that my mother have an abortion but she did not and so I am alive today. 
My story is expressed in my video ""Morning Has broken: Abortion and Pro-life"" 
Abortion stops a beating heart thousands of times per day. A human heart starts beating 18-24 days after conception.
I am not condemning anyone who has had an abortion, I do not have the authority to judge them. 

All I am saying is that the life and the soul of a baby in the womb is precious, he or she means something in this world, and we should think twice before taking that life away. What was his or her life suppose to be? What does her life mean now? What was the baby suppose to learn? Who was she suppose to affect? 
We don't have the wisdom to stop her beating heart, stop the life the surges through her. Peace.",1240,3280539,43,1742
StoopDoc,Stoop,Some crappy stuff,264,293046,85,5686
streetvid,streetvid,Music and Friends!,513,729816,52,1836
therebelangel,TheRebelAngel,"Hi, I'm Farris! Check out the trailer to my upcoming movie.

Check out my website too!
www.therebelangel.com",1,766,4,720
tudocom8390,Tudocom,Canal do Portal Tudocom (www.tudocom.com.br),459,2319632,703,1237
webmasterflash,webmasterflash,"A lingering technical question about the Sept. 11 terrorist attacks still haunts some, and it has political implications: How did 200,000 tons of steel disintegrate and drop in 11 seconds? A thousand architects and engineers want to know, and are calling on Congress to order a new investigation into the destruction of the Twin Towers and Building 7 at the World Trade Center.",1000,1501548,36,1597
quebabe39,Urban Computing design,,1320,1169535,61,4135
weeblackarmy,weeblackarmy,,124,230470,47,3456
WilliamRodriguez911,William Rodriguez,WilliamRodriguez911,1190,338020,42,2846
bonecrusher1177,bonecrusher1177,,17,24747,10,327
theirnewpearlharbor2,keyhole911,,1050,957727,96,3034
