ID,Title,Creator,Tags,Published Time,Duration,Description,View Count,Like Count,Like Rate,Comment Count,Error,YouTube Links,Archive URL
dhzCewk3zzg,Munir Bashir - Taqsim Rast,youboob83,"['oud', 'ud', 'arabic', 'arab', 'music', 'iraq', 'iraqi', 'rast', 'taqsim', 'taksim', 'guitar']",2006-04-10T05:06:12Z,PT5M26S,"This clip shows Iraqi Oud master Munir Bashir (1930-1997) playing in the Arabic scale of Rast.  He had a doctorate in musicology from Budapest, and was in constant rebellion against the misinterpretation of this music and it's use for commercial ends. He has been credited with restoring credentials to a music that has become debased through bending to the tasters of colonial nostalgia.  

Clip is from:
http://www.mikeouds.com/

Info from www.oud.gr",136930,293,,32,,https://www.youtube.com/watch?v=dhzCewk3zzg,https://archive.org/details/youtube-dhzCewk3zzg
Qxrax9iYOBo,Radiohead - Let Down,Carlos Rojas Sócola,"['Radiohead', 'Let', 'Down']",2006-04-10T12:38:55Z,PT2M26S,"One day, I'm gonna grow wings.


**DISCLAIMER**
I DO NOT OWN ANYTHING, THE SONG AND IMAGES BELONG TO THEIR RESPECTIVE OWNERS. NO COPYRIGHT INFRINGEMENT WAS INTENDED.",316313,1592,,117,,https://www.youtube.com/watch?v=Qxrax9iYOBo,https://archive.org/details/youtube-Qxrax9iYOBo
6myF6ZlEpo4,Israel and Palestine,dna1987,"['Israel', 'Palestine', 'Dna', 'Middle', 'East', 'News', 'Music', 'Truth', 'Zionist', 'Zionism', 'Michael', 'Jackson', 'About', 'Us', 'Facts', 'Genocide', 'theyoungturks']",2006-04-12T02:05:37Z,PT5M2S,"Note: This video was made in Decemeber 2005. Over the last few years, a lot has happened, and the numbers need to to updated. They look even worse and more skewed than they did back then. ~ DNA November 2009.

A video revealing the truth in the Middle East.
Feel free to distribute this video.
DNA

Email me at: dna1987@gmail.com
if you have any comments.",16504,163,,293,,https://www.youtube.com/watch?v=6myF6ZlEpo4,https://archive.org/details/youtube-6myF6ZlEpo4
lXm6Fev3o-g,KENNETH BRIAN-"Brighter Day" live on CapZeyeZ,rAwTiMe,"['kenneth', 'brian', 'capzeyez', 'dave', 'prewitt', 'rawtime', 'cable', 'access', 'television', 'country', 'music', 'real', 'public', 'free', 'pact', 'roio420']",2006-04-12T23:04:43Z,PT4M57S,"An in studio live rendition of the title track from KENNETH BRIAN's latest cd ""Brighter Day""
http://www.kennethbrian.com/",1930,15,,2,,https://www.youtube.com/watch?v=lXm6Fev3o-g,https://archive.org/details/youtube-lXm6Fev3o-g
zWddWhpKrmM,The Master Farid El-Atrash,youboob83,"['oud', 'ud', 'farid', 'guitar', 'arabic', 'arab', 'egyptian', 'egypt', 'music']",2006-04-14T00:47:51Z,PT6M42S,"This is an early recording of legendary *Syrian* oud master Farid El-Atrash tearing the oud a new one...

Clip is from:
http://www.mikeouds.com/",1573789,3321,,395,,https://www.youtube.com/watch?v=zWddWhpKrmM,https://archive.org/details/youtube-zWddWhpKrmM
wTQOd4umX40,Abadi El-Johar in Paris,youboob83,"['oud', 'ud', 'guitar', 'abadi', 'johar', 'arab', 'arabic', 'music']",2006-04-17T03:12:35Z,PT4M3S,"Abadi El-Johar giving fans in Paris their money's worth.

Clip is from:
http://www.mikeouds.com/",14556,68,,5,,https://www.youtube.com/watch?v=wTQOd4umX40,https://archive.org/details/youtube-wTQOd4umX40
VdUX_C77mE8,copacabana scopitone,jeankebos,"['scopitone', 'copacabana', 'sixties', 'old', 'music', 'video', 'vintage']",2006-04-19T12:03:11Z,PT2M39S,"some music video made for a scopitone, a kind of avant la lettre music video juke box, anybody knows the name of the german singer?",140149,234,,34,,https://www.youtube.com/watch?v=VdUX_C77mE8,https://archive.org/details/youtube-VdUX_C77mE8
xzj2UQ9nJHM,Crash Ballet,couldnotstop,"['crash', 'plane', 'music', 'ambient', 'violence']",2006-04-23T15:37:42Z,PT1M22S,"Ethan Mitchell
Interpol's Untitled
Remix by Velapene Screen",4455,17,,5,,https://www.youtube.com/watch?v=xzj2UQ9nJHM,https://archive.org/details/youtube-xzj2UQ9nJHM
32NH3qxC5NE,Crash Ballet 2,couldnotstop,"['crash', 'plane', 'music', 'ambient', 'violence']",2006-04-23T16:40:49Z,PT26S,"Keith Watson
SOD's F**k the Middle East",3133,1,,0,,https://www.youtube.com/watch?v=32NH3qxC5NE,https://archive.org/details/youtube-32NH3qxC5NE
BhtwIq7t2w4,Crash Ballet 3,couldnotstop,"['crash', 'plane', 'music', 'ambient', 'violence']",2006-04-23T23:38:49Z,PT30S,"Steve Delahoyde
Viva Voce's Business Casual",1479,2,,0,,https://www.youtube.com/watch?v=BhtwIq7t2w4,https://archive.org/details/youtube-BhtwIq7t2w4
CJEhAtduQlI,Thriller,Stoop,"['Sackler', 'Thriller', 'Stoop', 'Funny', 'Comedy', 'music', 'video', 'Michael Jackson (Musical Artist)']",2006-05-02T01:39:36Z,PT3M12S,Sackler Medical School class of 2005 recreate Michael Jackson's Thriller video in their anatomy lab using real cadavers.,43999,111,,17,,https://www.youtube.com/watch?v=CJEhAtduQlI,https://archive.org/details/youtube-CJEhAtduQlI
yZq7bdtQWBA,Generator by Foo Fighters,Allen Fadul,"['foo', 'fighters', 'generator']",2006-05-04T14:28:01Z,PT3M38S,rare live music video of generator by the foo fighters...,565694,1079,,191,,https://www.youtube.com/watch?v=yZq7bdtQWBA,https://archive.org/details/youtube-yZq7bdtQWBA
8GPFLwvuwlk,Let's Get Our Doctor On,Stoop,"['Stoop', 'Sackler', 'musicvideo']",2006-05-04T23:28:02Z,PT1M16S,Graduating class of Sackler School of Medicine 2005 strut their stuff now that they got their MD's.,1736,2,,0,,https://www.youtube.com/watch?v=8GPFLwvuwlk,https://archive.org/details/youtube-8GPFLwvuwlk
H5wkhJrYex4,Introduction to Sackler Video,Stoop,"['Stoop', 'Sackler', 'montage']",2006-05-04T23:53:59Z,PT2M13S,The dramatic opening sequence to the Sackler school of medicine's graduating class of 2005 video.,2908,3,,2,,https://www.youtube.com/watch?v=H5wkhJrYex4,https://archive.org/details/youtube-H5wkhJrYex4
fUIsqEMOO9c,Eternal Iran,noaccess,"['iran', 'iranian', 'persia', 'persian', 'nuclear', 'energy', 'atom', 'power']",2006-05-05T17:14:55Z,PT2M42S,"http://www.iranmilitaryforum.net
Nuclear energy is our absolute right!",3822,19,,Not available,,https://www.youtube.com/watch?v=fUIsqEMOO9c,https://archive.org/details/youtube-fUIsqEMOO9c
X4GjhuzMNEY,Jesse Colin Young,Park City Television,"['music', 'youngbloods', 'pctv', 'utah', 'jesse', 'colin', 'young']",2006-05-05T17:18:44Z,PT4M55S,"""Come on people now, smile on your brother. Everybody get together, try to love one another right now. "" Sound familiar? That's Jesse Colin Young's huge hit with The Youngbloods, ""Get Together."" See what he's up to these days.

For more great music, sports and features, watch PCTV live at www.parkcity.tv.",32336,46,,8,,https://www.youtube.com/watch?v=X4GjhuzMNEY&pp=ygUmSmVzc2UgQ29saW4gWW91bmcgUGFyayBDaXR5IFRlbGV2aXNpb24%3D,https://archive.org/details/prkcitut-Jesse_Colin_Young
